iter	Passed	Remaining
0	140	140122
1	142	70891
2	143	47729
3	144	36077
4	145	28978
5	146	24240
6	147	20993
7	148	18438
8	151	16717
9	151	14966
10	152	13686
11	153	12614
12	155	11825
13	157	11084
14	158	10440
15	161	9938
16	162	9391
17	164	8988
18	166	8608
19	169	8282
20	170	7950
21	173	7708
22	173	7357
23	175	7138
24	176	6876
25	177	6641
26	178	6417
27	178	6209
28	179	6012
29	180	5830
30	181	5664
31	183	5562
32	184	5417
33	185	5283
34	186	5139
35	187	5024
36	188	4917
37	190	4825
38	190	4696
39	192	4608
40	192	4506
41	193	4410
42	195	4346
43	196	4258
44	199	4225
45	199	4145
46	200	4073
47	201	3999
48	202	3933
49	203	3861
50	203	3794
51	204	3730
52	206	3689
53	207	3627
54	207	3570
55	208	3518
56	209	3466
57	210	3417
58	211	3366
59	211	3312
60	212	3266
61	212	3222
62	213	3178
63	214	3139
64	215	3098
65	217	3073
66	218	3044
67	219	3007
68	220	2977
69	222	2956
70	223	2929
71	224	2898
72	225	2865
73	226	2833
74	227	2806
75	228	2777
76	228	2743
77	230	2725
78	231	2694
79	231	2666
80	233	2654
81	235	2637
82	236	2611
83	237	2586
84	238	2564
85	239	2541
86	240	2525
87	241	2505
88	242	2486
89	244	2467
90	244	2446
91	246	2432
92	247	2414
93	248	2394
94	249	2378
95	250	2358
96	251	2342
97	252	2322
98	252	2301
99	254	2289
100	256	2282
101	257	2264
102	258	2247
103	259	2231
104	259	2213
105	260	2195
106	261	2182
107	263	2177
108	264	2164
109	265	2148
110	266	2132
111	266	2115
112	267	2101
113	269	2093
114	270	2078
115	270	2063
116	272	2058
117	274	2050
118	275	2036
119	278	2040
120	279	2027
121	280	2020
122	281	2010
123	282	1997
124	283	1984
125	284	1971
126	285	1963
127	286	1951
128	287	1938
129	288	1929
130	290	1925
131	291	1915
132	292	1906
133	293	1895
134	294	1884
135	295	1875
136	296	1866
137	297	1856
138	298	1850
139	299	1840
140	301	1834
141	302	1825
142	303	1817
143	304	1807
144	304	1796
145	305	1788
146	307	1782
147	308	1773
148	309	1767
149	311	1765
150	313	1760
151	314	1757
152	315	1747
153	317	1745
154	319	1740
155	320	1732
156	322	1729
157	322	1720
158	324	1718
159	325	1710
160	327	1704
161	328	1699
162	329	1693
163	332	1693
164	333	1685
165	333	1677
166	335	1672
167	336	1665
168	337	1660
169	340	1661
170	341	1654
171	341	1646
172	343	1641
173	345	1641
174	346	1633
175	351	1646
176	352	1641
177	355	1642
178	358	1643
179	359	1638
180	361	1633
181	362	1627
182	363	1621
183	364	1614
184	364	1607
185	366	1603
186	367	1596
187	368	1590
188	368	1583
189	369	1576
190	370	1570
191	371	1564
